product_id|product_name|category|price
P10000|Paper|Make|321.52
P10001|Have|Each|17.38
P10002|Carry|Majority|141.14
P10003|Almost|Purpose|115.49
P10004|Provide|A|369.55
P10005|Base|Instead|339.97
P10006|Against|Analysis|446.63
P10007|Himself|Fire|48.03
P10008|Month|Street|213.85
P10009|Ball|Consider|19.75
P10010|And|Professional|113.23
P10011|Place|Our|255.15
P10012|Two|Exactly|18.14
P10013|Data|Clear|103.42
P10014|May|Win|326.69
P10015|During|Attention|274.75
P10016|Likely|Republican|114.12
P10017|Beat|But|296.69
P10018|Great|Rest|405.67
P10019|Foreign|Rate|8.22
P10020|Or|Customer|403.88
P10021|Want|Top|350.58
P10022|Million|Current|173.42
P10023|Arm|Spend|81.96
P10024|North|Professional|478.82
P10025|Cultural|Candidate|171.61
P10026|Against|Military|50.91
P10027|About|Gas|52.87
P10028|Argue|South|424.51
P10029|Live|Sport|303.84
P10030|Attorney|Word|404.53
P10031|Can|Police|366.22
P10032|Perhaps|Third|270.43
P10033|Street|Ok|486.69
P10034|Practice|Know|192.37
P10035|Another|Source|278.26
P10036|Respond|Audience|415.56
P10037|Black|Order|311.17
P10038|Woman|Show|431.54
P10039|Compare|Call|290.79
P10040|Expert|Mouth|353.76
P10041|No|Pm|27.68
P10042|Everybody|Bed|117.81
P10043|Give|Article|148.25
P10044|Them|Sit|44.5
P10045|Bed|Mean|120.23
P10046|Left|Theory|55.0
P10047|Improve|So|142.6
P10048|Let|Skill|319.66
P10049|Although|Whose|185.59
P10050|Clear|Service|188.24
P10051|Itself|Word|108.71
P10052|Who|Meet|137.15
P10053|Point|Modern|468.64
P10054|Professor|Different|325.78
P10055|Relate|Join|306.52
P10056|Cost|Book|89.71
P10057|Else|Enter|365.92
P10058|Understand|Radio|85.88
P10059|Unit|Attack|192.83
P10060|Dog|Plan|494.81
P10061|Bed|Reflect|321.8
P10062|About|Miss|280.69
P10063|Blue|Exactly|343.88
P10064|Air|Side|422.21
P10065|Role|Rise|389.12
P10066|Toward|Customer|118.38
P10067|Field|Or|20.89
P10068|Before|Actually|161.15
P10069|Spend|Tax|137.53
P10070|Any|Couple|109.44
P10071|Suggest|Game|471.74
P10072|Language|Sport|438.8
P10073|Apply|Board|160.77
P10074|Fill|Read|329.44
P10075|Score|Maintain|200.84
P10076|Assume|White|457.7
P10077|Of|Memory|232.13
P10078|Go|Central|136.12
P10079|He|Military|127.08
P10080|Entire|Room|282.88
P10081|She|Shoulder|135.06
P10082|Compare|Whom|294.37
P10083|Rest|Although|449.42
P10084|Either|Condition|202.7
P10085|It|Well|113.56
P10086|Edge|Look|498.78
P10087|Method|Explain|257.22
